,Neighborhood,incidents_count
0,Mission,53784
1,Tenderloin,47838
2,Financial District/South Beach,42783
3,South of Market,40246
4,Bayview Hunters Point,33500
5,North Beach,18418
6,Western Addition,16734
7,Sunset/Parkside,16080
8,Castro/Upper Market,15790
9,Marina,15534
10,Nob Hill,15080
11,Hayes Valley,15007
12,Russian Hill,13384
13,Outer Richmond,12705
14,West of Twin Peaks,10777
15,Pacific Heights,9848
16,Bernal Heights,9794
17,Chinatown,9541
18,Potrero Hill,9401
19,Mission Bay,9232
20,Haight Ashbury,9021
21,Excelsior,8759
22,Outer Mission,7449
23,Inner Richmond,7391
24,Inner Sunset,7073
25,Lakeshore,6832
26,Lone Mountain/USF,6677
27,Portola,6169
28,Noe Valley,6099
29,Japantown,5947
30,Golden Gate Park,5767
31,Oceanview/Merced/Ingleside,5699
32,Visitacion Valley,5507
33,Presidio Heights,3529
34,Glen Park,3102
35,Twin Peaks,2909
36,Treasure Island,1917
37,Presidio,1194
38,Lincoln Park,927
39,Seacliff,833
40,McLaren Park,636
